Id,Comentario,Carga
164,¿Cómo se atreve @VicenteFoxQue a criticar a AMLO sí fue tanta la inseguridad de su sexenio que el @El_Universal_Mx comenzó a contar los muertos. Dice:”Batiendo récord en # de muertos de AMLO y ahora en número de secuestrados”. Olvida que son su herencia junto con la de Calderón.,Positivo
165,"Mi apoyo absoluto e incondicional al proyecto de nación que encabeza el presidente AMLO, no es tarea sencilla y nadie dijo que fuera serlo. Por un México mejor",Positivo
166,"Sabio, inteligente, honrado, persistente, Ama al Pueblo de México y sera el mejor PRESIDENTE DE MÉXICO, Su nombre es: ANDRES MANUEL LOPEZ OBRADOR.",Positivo
167,Junto a el UN PUEBLO QUE LO RESPALDA VIVA MÉXICO CABRONES la 4 Transformación VA.,Positivo
168,Si entenderá @lopezobrador_ que promover desde el poder las actividades de su esposa también es corrupción? Pensará AMLO que aunque esto sea ilegal es justo?,Negativo
169,"Sus zapatos son perfectamente adecuados a lo que él es y al trabajo que ha realizado hasta ahora, en su sexenio. Como se ha señalado, muy pocos pueden llenar los zapatos de amlo.",Positivo
170,"Sr. López, el poner o quitar personajes dentro del gobierno a estas alturas, no lo exime de los patéticos resultados que ha tenido en este periodo su gobierno. Si no pueden con el paqueteRENUNCIEN.",Negativo
171,Y el reclamo es simple: QUEREMOS UN MÉXICO EN PAZ,Negativo
172,"  Estoy segura que nuestro presidente no nos fallará porqué, es ético y su moral está muy por encima de todos sus antecesores, el no tirará la toalla tan rápido. Yo respaldo a AMLO, y ¿tú?",Positivo
173,"      Decían que la economía crecería al 4% pero crecerá menos del 2%, decían que la inflación sería estable pero ya se perfila al 4.8%... Lo único que crece en México son los homicidios y el precio del combustible por encima de la inflación.",Negativo
174,"Un compadre de AMLO licita para un contrato millonario con el Gobierno. La respuesta del Presidente es una belleza: ‘Yo no me hago responsable ni por mis hijos, ni por mi esposa, ni por amigos, ni por compadres’",Negativo
175,"Quiero hacer públicas mis disculpas por haber pedido el voto para López Obrador en el 2018. Estoy avergonzado con todos los que confiaron en mi criterio. Ahora es mi obligación luchar con todas mis fuerzas contra el gobierno de AMLO, que nos engañó, mintió y defraudó.",Negativo
176,Se cumplen 5 meses con AMLO en el gobierno. La oposición intenta recuperarse de la derrota.,Negativo
177,"¡Qué pedo AMLO! Ya van a ser 5 meses de tu gobierno y todavía no revive Juan Gabriel; Puro atole con el dedo, nos diste!",Negativo
178,Dios te perdone AMLO si distraes al pueblo de este modo.. si salinas inventó un chupacabras tu reviviras muertos ... Con tal de tapar y mentirle al pueblo con tu gobierno que es el peor de toda la historia de México el peor.....,Negativo
179,"Leí a algunos tibios quejarse porque no saben qué responder a sus amigos y familiares cuando les reclaman que ""AMLO no da resultados"". Yo jamás dejaré que alguien me reclame porque yo nunca les reclamé haber votado por el PRIAN y seré militante de morena pero yo no gobierno.",Positivo
180,"Aaaaah, pero los chairo es se creen el cuento de la AUSTERIDÁ. No puede haber pueblo pobre con gobierno rico, sí, como no! @lopezobrador_",Negativo
181,"La violencia, literalmente, está peor que nunca, y aunque digan que es una herencia, desde que inició el gobierno de @lopezobrador_, ha empeorado. Hay un vacío de autoridad, falta de estrategia y una incompetencia que está dejando en la indefensión a los ciudadanos.",Negativo
182,"  Quieres limpiar de corrupción e impunidad, pero liberas y le regresas todo el dinero robado a Elba esther, y congelas las cuentas de los que estaban atrás de tu documental. Y pones a puros compadres y familiares en los puestos de gobierno. Luego tratas de apoderarte de la corte.",Negativo
183,"Este es el topo ciego, el segundo animal más ciego del mundo; el primero es @lopezobrador_ haciéndose pendejo al no reconocer públicamente el fracaso de su gobierno por su incompetencia.",Negativo
184,Los seguidores de @lopezobrador_ que es muy pronto para exigirle resultados. ¿Qué opinaba su líder en el@mismo período del gobierno de @EPN?,Negativo
185,No hay estrategia No hay plan No hay idea No ha cifras reales No hay estudios previos No hay vision No hay funcionarios capaces No hay intención de aplicar la ley El de @lopezobrador_ es un gobierno improvisado.,Negativo
186,"Que curioso,18 años de masacres,de ""daños colaterales"",de miles de desaparecidos, y nunca vi tanta indignación y exigencia hacia el gobierno en turno.Hoy la masacre en Minatitlán provoca una oleada de indignación y exigencia hacia @lopezobrador_ ¿Doble moral? ¿Moral selectiva?",Negativo
187,"Señor ""presidente constitucional de México"" @lopezobrador_ , no nos interesa si está vivo Juan Gabriel, estas personas, incluido niños, están muertos por su fallido gobierno.",Negativo
188,"Eso de los arrepentidos a cinco meses de gobierno, es una de las estrategias más RIDÍCULAS de la oposición bananera. Están cegados por la urgencia de crear una percepción destructiva alrrededor de AMLO y siempre les resulta contraproducente.",Positivo
189,Mmmm! Sin duda algo está muy mal en México y en el gobierno del inútil presidente @lopezobrador_ cuando estamos de acuerdo con un enfermo mental como el de abajo! O no?,Negativo
190,La izquierda de AMLO muy crítica en las administraciones anteriores ¿Y ahora se justifican con maromas de que les dejaron un cochinero? ¿Para qué están gobernando entonces?,Negativo
191,"No se les olvide que ahora el presidente de Mexico es @lopezobrador_ . Esperamos resultados de su gobierno, combate a la corrupción, a la impunidad y disminución de la inseguridad.",Positivo
192,“18 años apoyándolo para que llegue usted y me corran”,Negativo
193,Los jóvenes no estamos contigo @lopezobrador_  al menos no los que estudiamos y sabemos distinguir entre realidad y lo que tu quieres venderle al país con cada conferencia en las mañanas en donde NO OFRECES SOLUCIONES,Negativo
194,"Toda su vida política se la paso cuestionando y criticando la corrupción, nepotismo, robos, injusticias entre muchas cosas que realmente pasaban.
Uno pensaría que estando en el poder hiciera lo contrario...

@lopezobrador_  la congruencia no es una virtud en usted!! ",Negativo
195,Una pena tengamos un presidente como @lopezobrador_ que sigue en campaña y no está a la altura que México necesita,Negativo
196,La izquierda de AMLO muy crítica en las administraciones anteriores ¿Y ahora se justifican con maromas de que les dejaron un cochinero? ¿Para qué están gobernando entonces?,Negativo
197,"Tuvieron 6 años cada uno, dejaron un chiquero de país y hasta defienden su gestión... ¿con qué calidad moral critican a AMLO que lleva apenas 4 meses en el cargo?",Positivo
198,"AMLO no tiene proyecto:

* Ni de seguridad.
* Ni económico
* Ni Macroeconómico
* Ni de Turismo.

Solo ocurrencias. ",Negativo
199,"No, López Obrador: TÚ NO decides qué es ni cómo hacer justicia.

Vivimos en un Estado de Derecho, con LEYES que prometiste CUMPLIR y hacer cumplir, o de lo contrario, como ahora, LA NACIÓN TE LO DEMANDA.

Cumple las leyes o  vete y deja de poner a México  en ridículo.",Negativo
200,Cómo siempre AMLO no está sólo somos millones ,Positivo
201,"La enanez política de Andrés Manuel ha provocado más problemas que soluciones, su soberbia y su nula capacidad para gobernar son preocupantes.
A Peña le exigimos la renuncia en su tercer año de mandato, AMLO lo consiguió en su 4to mes de gobierno. ",Negativo
202,"Es más gacho ser un resentido con un hombre honesto y trabajador como #AMLO y que lo atacas no porque lo odies sino porque les quito el modo de vivir fácil y con el dinero regalado por comentar pendejadas toda tu familia, por eso tanto ataque a una persona que los respeta.",Positivo
203,"  Con @lopezobrador_Del 6 pasamos al lugar 7 en turismo en el mundo, ¡en tan solo 3 meses!... ...a este paso, los únicos extranjeros que van a venir a México, son los de la caravana migrante y no más porque saben que aquí los mantenemos...",Negativo
204,"“La popularidad de AMLO se ha sostenido por la economía. Él no ha obstaculizado el crecimiento”. Chris Gaffney, presidente de mercados globales de TIAA Bank.",Negativo
205,"  Cadena de errores del Gobierno de @lopezobrador_ , ahora le regresa sus bienes a ElbaEstherGordillo, bienes que adquirió producto de la corrupción, robo a su sindicato y pillaje de alto nivel Así es como AMLO compra voluntades",Negativo
206,Ahora pretenden juntar firmas para tumbar a AMLO Si q la Oposiciónde5ta está grave,Negativo
207,"  El Presidente tiene un pensamiento setentero. Para él, recortar personal significa ahorro, porque gasta menos en salarios. Y trabajar los sábados, significa hacer más. Nada más lejano de la realidad. El hecho de que amlo jamás haya trabajado en su vida tiene un impacto.",Negativo
208,AMLO entró en suburban a dónde los anteriores presidentes no entraban ni acompañados del ejército.,Negativo
209,Y parte de lo que la hicieron de pedo AMLO y sus chairos era que Texcoco se iba a tardar 5 años...,Negativo
210,Trabajar con AMLO y la 4T es muy relajante y revitalizador. Felices 42!,Positivo
211,"Ya por favor bla. Bla Bla bls con lo mismo,Lo que había de hacer Justicia con los Ex Presidentes que Saquearon. Al País y nos antes tenido en la .miseria, Y eso lo Prometió En CAmpaña y ahora sale con con su embajada ,No que . muchas Agallas,o le faltan ,tanto Cacaraquiaba",Negativo
212,"  Parece que este presidente no pierde tiempo en enseñar clases de historia cada vez que puede, que diferencia con Peña",Positivo
213,"Si ...la economía crece ......PERO LA SUYA ......ESTA INCHANDOSE DE DINERO DE LAS PENSIONES Y APOYOS A LOS NIÑOS,LOS JÓVENES,LOS ADULTOS MAYORES,LOS ABUELITOS,EL CAMPO,ETC.ETC.",Negativo
214,"Es cierto México está creciendo pero en caravanas de centroamericanos qué López y la Loba o Cordero les prometieron empleos o sueldos sin trabajar México está creciendo en corrupción y con la aprobación de López Vegete mentiroso,,,,",Negativo
215,"Gracias a Dios, que llegó la hora de tener un buen gobierno, un buen Presidente y que México respirará de tanto saqueo, corrupción e imounidad, VIVA AMLO, VIVA LA 4T.",Positivo
216,"Hoy confirmo que nuestro Presidente sí es un Mesías: - Les devolvió la vista a los ciegos; - Los mudos, ya empezaron a hablar; - Los sordos, ya ""escuchan"" a la gente... Amo ver a la oposición de 5ta retorciéndose del coraje: ¡La 4t está avanzando!",Positivo
217,"que motivación tan grande como mexicano, tener a un presidente patriota, honesto y trabajador, es emocionante ver su entrega y pasión por nuestro país, todo nuestro apoyo señor presidente, desde nuestros pueblos y Estados lo respaldamos, lo conozco y se bien que no nos va a fallar, VIVA AMLO, VIVA MÉXICO!!",Positivo
218,"El mejor presidente que ha tenido nuestro México, en estos 18 años pasados. 👍👏👏👏",Positivo
219,Por favor presidente después de Minatitlán Veracruz que llegue la guardia nacional a Guanajuato...😘😘😘😘,Positivo
220,Bienvenida la guardia nacional. Todos unidos con AMLO y Cuitlahuac para pacificar Veracruz,Positivo
221," HOY NO HAY BOTS, FUERON A LA OFICINAS DEL PRI PORQUE NO LES HAN PAGADO 😂😂😂🐁🐀",Positivo
222,"Sr. Presidente, lo ví recorriendo de Olinalá rumbo a Chilapa cuando usted visitaba todos los municipios para conocerlos. Esa talacha no la hizo ningún otro político para conectar con su pueblo pues andar esos caminos es demasiado riesgoso. Lo felicito por su trabajo y su entrega a su patria...es usted un ejemplo a seguir.",Positivo
223,El mejor presidente del mundo.,Positivo
224,Somos Fuerza #Amlo2019,Positivo
225,Como le hace hace unos momentos estaba en la mañanera este si es presidente y no chingaderas disculpen el vocabulario,Positivo
226,"Gracias a Dios, que llegó la hora de tener un buen gobierno, un buen Presidente y que México respirará de tanto saqueo, corrupción e imounidad, VIVA AMLO, VIVA LA 4T.",Positivo
227,México tiene el potencial . Sólo hacia falta el presidente AMLO. Y el país le apoya,Positivo
228,Viva obrador Viva México Viva la cuarta transformación,Positivo
229,Estoy orgulloso de mi presidente Andrés Manuel López Obrador de lo que esta aciendo soy del ejido el diamante municipio de minatitlan Veracruz bamos adelante ni un paso atrás bamos acabar con la corrupción me canso ganso que viva Andrés Manuel López Obrador que viva México,Positivo
230,Es un buen presidente y creo que todos los mexicanos tenemos que apoyarlo para que nuestro país sea Super mejor,Positivo
231,Gracias a la vida por darme la oportunidad de coexistir con el que probablemente sea uno de los mejores presidentes de la historia #Amlo,Positivo
232, Orgullosa que se esta rescatando PEMEX a mis abuelos en paz descansen les toco donar sus Vajillas de plata y todo lo que tenian en oro para ayudar al ptesidente Lazaro Cardenas por eso desian que Pemex era de los Mexicanos y nos dio mucho coraje que cuantos millones de Mexicanos ayudaron y nunca recivieron nada.Y mas coraje aun cuando el expresidente Peña Nieto dijo que la gallina de los huevos de oro estaba acabada que PEMEX estaba en quiebra. Si ven ustedes quienes fueron los unicos veneficiarios?Por eso votamos por el cambio que nesecitaba Mexico y exijo a este gobierno por el cual votamaos que caigan los responsables de tan atros crimen.Cuando los mexicanos vamos a recivir lo que nos robaron?.,Positivo
233, LO DIJE Y LO SIGO DICIENDO LÓPEZ OBRADOR EL CAMVIO PARA TODOS LOS MEXICANOS,Positivo
234,"Te amo amlo,eres lo mejor que le a pasado a México, viva amlo,,,viva México, viva amlo",Positivo
235,PEMEX patrimonio de los Mexicanos no del PRIAN y ahora con el PRESIDENTE Andrés López Obrador va a resurgir la gallina de los HUEVOS de oro para seguir solventando la economía de MÉXICO 🇲🇽,Positivo
236,"Eres admirado por millones de mexicanos, y líderes mundiales. Gracias por tantas alegrías generadas a beneficio de México",Positivo
237,Único nuestro PRESIDENTE!!! México va hacia adelante !!! Dios lo bendiga y a todos los MORENOS.💖,Positivo
238, Gracias por visitarnos AMLO. Cuídate mucho y descansa. Y con todo respeto no olvides a los municipios de todo nuestro estado de Oaxaca. Gracias por tu terquedad.,Positivo
239,El mesías no sabe nada de la economía actual. Que peligroso es aquello para el crecimiento del país. Solo creará más pobreza y desigualdad,Negativo
240,"Felicidades mi presidente, como siempre Ud trabajando 🇲🇽👏🏻😘",Positivo
241,"Cuidado Amlovers con los chayoteros: Televisa, Imagen TV, Milenio, Reforma, el occidental, Excélsior, viva x siempre AMLO!!!!",Positivo
242, Por fin un presidente mira la pobreza y falta de oportunidades del sur en especial a mi lindo OAXACA,Positivo
243,Un gran presidente de México ayudemos con la 4ta transformacion que sigamos el cambió que ya empezó viva oaxaca viva México viva amlo,Positivo
244,"Sr presidente acá en USA estamos dispuestos, apoyar para sacar al país adelante, nuestro único interés es ver a mexico.libre y prospero",Positivo
245,Gracias por el ejemplo que nos da de trabajo. Dios lo bendiga Señor Presidente.,Positivo
246,este sr es el unico que sabe como esta mexico por que toda su vida ha estado recorriendo todos los pueblo por eso sabe😎😎,Positivo
247,MORENA ES LA ESPERANZA DE MÉXICO. Y. A.M.L.O. ES LA JUSTISA DE LOS MEXICANOS,Positivo
248,No.me.han dado nada pero yo estoy feliz con el.presi. porque no espero que me mantenga. Si no que defienda los intereses nacionales,Positivo
249,Usted muy bien mi querido presidente!! ,Positivo
250,"Por eso eres el mejor líder presidente que hace muchos años no habíamos tenido, siempre trabajando arduamente. Siempre respetado, nuestro honorable #AMLO",Positivo
251,"Nos costó años de lucha pero hoy tenemos al mejor Presidente de México y se llama Andrés Manuel López Obrador  
#AmloElPuebloTeApoya 
#AMLOelMejorPresidenteDelMundo 
#ApoyoTotalAMLOvsNarcoPRIAN",Positivo
252,"Amig@s hagamos viral el apoyo a AMLO con #AMLOElPuebloTeApoya en sus Twitter, digo y apoyo a quien lo haga y demuestre el apoyo a cariño a nuestro presidente. ",Positivo
253,Por ser el unico presidente en enfrentar a los asesinos prianistas de nuestro Mexico. #AmloElPuebloTeApoya,Positivo
254,#AmloElPuebloTeApoya por qué un país necesita tiempo para repararse,Positivo
255,"¿Qué sientes, estimado @lopezobrador_ , cuando te llama “pésimo presidente” el peor de todos, @VicenteFoxQue ?; ¿en algo te preocupa... o sólo te da risa?",Negativo
256,"Que vergüenza que hasta las tragedias las uses como trampolín para la agresión. 

No todo trata de ti AMLO, hablar del pueblo no significa gobernarlo, atenderlo sí.

¡No más violencia! #Minatitlan",Negativo
257,"Para todos aquellos que aseguran que AMLO jamás dijo que el país se arreglaría cuando él ganara la presidencia, aquí les dejo el vídeo.
Andrés Manuel mintió, como siempre.",Negativo
258,"Es Lamentablemente tener un presidente como @lopezobrador_ que nos ofende si pedimos justicia o nos dice somos de la mafia del poder, necesitamos que gobierne. #AMLORENUNCIA",Negativo
259,"Sr. @lopezobrador_  sinceramente a nadie le importa lo que usted diga o deje de decir, queremos un México con futuro, con seguridad, con proyección. Un México limpio. Si hay inseguridad a quién le reclamamos? Usted y su equipo han hundido más al país, Ahora, que plan tiene?",Negativo
260,Solo creas división entre mexicanos eres un cancer @lopezobrador_  ,Negativo
261,Y aquí vemos cómo superamos numéricamente los que sabemos que @lopezobrador_ es incapaz como gobernante,Negativo
262,Prometiste ser una esperanza no un enemigo!! 😡😡,Negativo
263,"Andrés Manuel @LopezObrador_ es un buen Presidente.

Ha cumplido en 4 meses la mayoría de sus promesas en campaña.

PAN y PRI con sus ataques diarios con mentiras a AMLO sólo ofenden a México.

Yo estoy con AMLO por ser un estadista.¿Ustedes con quién están?
",Positivo
264,ERES UNA ASNO @lopezobrador_ YA VETE A CORRETEAR PALOMITAS AL KIOSKO DE TU PUEBLO,Negativo
265,Por qué Amo a mi País Soy 100% AMLO.,Positivo
266,"en cuatro meses no se puede cambiar la mierda que dejó en Prian, en 70 años. Por primera vez puedo decir que estoy orgullosa de mi presidente. Vamos con usted AMLO.",Positivo
267,"Un llamado ATENTO y SI, Respetuoso a los seguidores de AMLO, abran los ojos ya no se trata de ""maromear"" la situación. Es 1 llamado de unión. La violencia que estamos viendo, es la que también alcanzará a sus familias. No se trata de ideas contra ideas.",Negativo
268,"Sin tantas palabras, hoy más que nunca, estoy con México, estoy con AMLO",Positivo
269,"... neta, el término ""conservador"" no lo escuchaba tan frecuentemente desde la primaria en los libros de texto ... con #AMLO regresamos al siglo XlX? Viejito, si no puedes: renuncia",Negativo
270,"ya me di cuenta que poco te importa el país, me avergüenza de que seas presidente y peor aun mexicano.",Negativo
271,"AMLO es el mejor presidente que ha tenido México le duela a quién le duela !
",Positivo
272,pueblo unido con AMLO jamas sera vencido. ,Positivo
273,"Hay un serio complejo de inferioridad en @lopezobrador_, su gabinete y sus aplaudidores.

Tienen todo puesto en charola de plata, presumen sus 30 millones de votos, tienen mayoría en las cámaras y NO PUEDEN.

Padecen disfuncion de poder

Son la #MafiaDelQuererYNoPoder",Negativo
274,Mienten los que aseguran que se prometió q la violencia terminaría por acto d magia el 1ro de Julio. hay mucho que trabajar. AMLO NO ESTAS SOLO ,Positivo
275,"Jamás se realizará el sueño de los fachitos, que AMLO ya no sea presidente... Se tendrán que aguantar todo el sexenio. Pobres dan una lástima, verdad @lopezdoriga ????",Positivo
276,"Saben cuántos años llevo diciendo, en todos los foros, que @lopezobrador_  es un peligro para México? Desde 1999, cuando hizo trampa para ser jefe de gobierno del DF! Si, 20 años de mentadas de madre e insultos! Y no me arrepiento! Ya lo comprobaron? Se los dije! Al tiempo!",Negativo
277,"Ahora resulta que los muertos en los años que gobernó el PRIAN no importan, cuando el culpable es @FidelHerrera y el  borracho de @FelipeCalderon... No le hacen ni cosquillas al presidente AMLO, hasta se ríe de sus ridículos pedorros. Saludos @GlodeJo07",Positivo
278,"déjate de mentiras, la guerra contra el crimen es real. No te hagas pendejo @lopezobrador_. Ya no es chairos vs fifis, al parecer es pueblo vs narcogobierno",Negativo
279,Llevo más de 12 años diciéndoles que @lopezobrador_ es un peligro para México. Que conste. ,Negativo
280,"Quienes pactaron y entregaron al país al crimen organizado? El PRIAN. No se confundan, estas ratas siguen protegiendo a las bandas criminales del narco y huachicol. No dudaría que su estrategia es incrementar la violencia para golpear a AMLO. Al tiempo, van a caeran estas ratas. ",Positivo
281,"La oposición es tan insignificante que de Twitter no pasa. En cambio AMLO siempre tendrá el apoyo no solo en redes, sino en las calles y en cada rincón de este país.",Positivo
282,"La matanza de Minatitlán fue obra del PRIAN, han hasta matado a un niño para que su foto sea explotada para hacer daño a AMLO. Sabotaje criminal y traidor a la Patria.
Han dejado su huella típica",Positivo
283,"Que Veracruz sea un Estado fallido, no es nada nuevo. La novedad es que algunos ingenuos comienzan a abrir los ojos a la realidad: las cosas lejos de mejorar con el gobierno actual de AMLO y Cuitláhuac, están poniéndose cada vez peor.",Negativo
284,estamos con #AMLO hasta el final.,Positivo
285,"Pedir la renuncia de AMLO es una estupidez, los Mexicanos le dimos nuestro apoyo y no estará solo en esta guerra contra el crimen organizado, que ahora no vengan a querer lavarse las manos como Pilatos, esto es #SangreDelPRIAN y unidos todos remontaremos la cuesta",Positivo
286,"¿Enserio le piden a AMLO que renuncie cuando le justificaron a @FelipeCalderon 150 mil muertos?

Son una oposición muy pitera, de eso no hay duda.",Positivo
287,Los jóvenes no estamos contigo @lopezobrador_  al menos no los que estudiamos y sabemos distinguir entre realidad y lo que tu quieres venderle al país con cada conferencia en las mañanas en donde NO OFRECES SOLUCIONES,Negativo
288,"Toda su vida política se la paso cuestionando y criticando la corrupción, nepotismo, robos, injusticias entre muchas cosas que realmente pasaban.
Uno pensaría que estando en el poder hiciera lo contrario...

@lopezobrador_  la congruencia no es una virtud en usted!! ",Negativo
289,Una pena tengamos un presidente como @lopezobrador_ que sigue en campaña y no está a la altura que México necesita,Negativo
290,"AMLO no puede
AMLO es soberbio
AMLO es doble cara
AMLO arroja y esconde la mano
AMLO acusa sin pruebas
AMLO divide al pueblo",Negativo
291,"AMLO no tiene proyecto:

* Ni de seguridad.
* Ni económico
* Ni Macroeconómico
* Ni de Turismo.

Solo ocurrencias. ",Negativo
292,"No, López Obrador: TÚ NO decides qué es ni cómo hacer justicia.

Vivimos en un Estado de Derecho, con LEYES que prometiste CUMPLIR y hacer cumplir, o de lo contrario, como ahora, LA NACIÓN TE LO DEMANDA.

Cumple las leyes o  vete y deja de poner a México  en ridículo.",Negativo
293,Cómo siempre AMLO no está sólo somos millones ,Positivo
294,"Buenas, buenas.

Es sábado de gloria y mi país, presa de añejas dinámicas y de pendejadas muy actuales, tiene como presunto presidente a un predicador torpe, necio, pendejo, naco y, sobre todo, HIJO DE PUTA.

Cc @lopezobrador_ #Minatitlán",Negativo
295,"La enanez política de Andrés Manuel ha provocado más problemas que soluciones, su soberbia y su nula capacidad para gobernar son preocupantes.
A Peña le exigimos la renuncia en su tercer año de mandato, AMLO lo consiguió en su 4to mes de gobierno. ",Negativo
296,"Si ante la imagen de UN NIÑO DE UN AÑO DE EDAD MUERTO POR UNA RÁFAGA DE BALAS, lo que te importa es salir a cubrirte las nalgas para seguir mareando pendejos, queda claro que eres mierda entre la mierda, @lopezobrador_ , y vales menos que el polvo que traes en las patas.",Negativo
297,"AMLO Por qué eres parte del pueblo del ciudadano de a pie , por qué eres honrado, eres sin duda un ejemplo a seguir ",Positivo
298,"Andrés Manuel @LopezObrador_ es un buen Presidente.

Ha cumplido en 4 meses la mayoría de sus promesas en campaña.

PAN y PRI con sus ataques diarios con mentiras a AMLO sólo ofenden a México.

Yo estoy con AMLO por ser un estadista.",Positivo
299,Los derechangos ardidos  cuando antes no les importaba  el pueblo,Positivo
300,"o apoyo tu gobierno, sabíamos que no sería fácil, demasiada corrupción y violencia, pero sabemos que tu gobierno busca un  sin asesinatos y masacres.",Positivo
301,Ahora sí  tenemos el Presidente que eligió  la mayoría ,Positivo
302,"La masacre ocurrida en Veracruz fue planeado por la oposición PRI y PAN, caeran los responsables y habra consecuencias graves en contra de esos malditos que buscan el poder con sangre. Van a caer y pagaran sus actos cobardes.",Positivo
303,"Estamos contigo AMLO...la mayoría de los detractores  no tienen memoria y quieren que resuelvas todo,como acto de magía",Positivo
304,"Nunca antes, México ha tenido un Presidente con tal respaldo como ahora, luchamos contigo, de norte a sur, de este a oeste, con nuestro Presidente. ",Positivo
305,AMLO no te daremos la espalda en tu lucha contra la corrupción y la violencia.,Positivo
306,"Aunque les duela vamos poco a poco a mejorar la situación del pais. Ya lo dijo AMLO, ""Ténganme paciencia y confianza. Nos entregaron un país en quiebra."" Esa oposición está desesperada porque se les acaba lo que se robaron.",Negativo
307,"Costó mucho para que lograras la presidencia y hay gente que hace cosas horribles para quitarnos esta oportunidad pero te apoyamos!
",Positivo
308,"El ""no-pensamiento"" de derecha es como una masa enquistada en el cerebro, lo nubla, creo imposible cambiar de pensamiento a los conservadores, en la vida hay que escoger las batallas, convencer a un derechoso es un desperdicio de energía ",Positivo
309,"Duro contra los corruptos, México está contigo presidente y lo bueno que los bots ,no votan.",Positivo
310,"""Sube a 14 cifra de muertos en Minatitlán""

""Hallan cuerpo embolsado en Edomex""

""Asesinan a pintor y su familia en SLP""

El primer trimestre de AMLO ha sido el inicio más violento de los últimos sexenios

Esta es la realidad!
Mientras, López atacando, denigrando, MINTIENDO",Negativo
311,"¿Cuántos más, AMLO? ¿CUÁNTOS MÁS? ",Negativo
312,"A los que piden la ""renuncia de AMLO"" por el triste evento ocurrido en #MinatitlanSangreDelPRIAN , están equivocados, ahora es cuando más se necesita un Presidente que no dude y que haga lo que se tiene que hacer, esto es #SangreDelPRIAN, pero nos salpica a todos.",Positivo
313,"Los más feroces críticos de AMLO son los mismos que aplaudieron la estrategia fallida de Felipe Calderón, estos son los resultados... mucho trabajo por delante.

",Positivo
314,No representas a todos unicamente una parte medicore como tu @lopezobrador_  eres tu el falso mesias y con un populismo barato! A la mierda con tu gobierno,Negativo
315,"¿Alguien sabe si el imbécil de  @lopezobrador_ ya dijo algo de lo ocurrido en Minatitlán?, ¿siquiera dió el pésame a las familias?",Negativo
316,"-¿Sabe el presidente de la masacre en Minatitlán? 
-¿Sabe el presidente que la violencia y la inseguridad recorren imparables al país? 
-¿Sabe el presidente que crece el número de homicidios dolosos? 
-Sabe @lopezobrador_ que él es el presidente?",Negativo
317,"Acá en Sinaloa durante el sexenio de Calderon asesinaron a más de 15 personas en una fiesta, no me acuerdo que hicieran escándalo los medios de comunicación a nivel nacional, solo sonó en mi estado... 
Pero se oponen a la guardia nacional y no dejan trabajar a AMLO.",Positivo
318,"A @lopezobrador_ le tomó pocas horas pronunciarse en sus cuentas oficiales sobre el SUICIDIO de Alan García, expresidente de PERÚ. Han pasado más de 24 horas de la MASACRE de Minatitlán y ni sus luces. Están muy claras las PRIORIDADES de este gobierno.",Negativo
319,"Al país se lo esta llevando la chingada y @lopezobrador_ en lugar de gobernar para todo #México, véanlo, que bonito se expresa!

Hay tanta rabia como ignorancia en sus palabras.
#VeracruzEstadoFallido 

¡ME AVERGUENZO DE TENER UN PRESIDENTE COMO ESTE! TÚ TAMBIÉN ¿VERDAD?",Negativo
320,"Cuando @lopezobrador_ supo de la tragedia en la catedral de Notre Dame dió las condolencias de inmediato pero de lo acontecido en Minatitlán no ha querido decir nada.

¿que clase de presidente tenemos que le vale madre su propia gente?

 #VeracruzEstadoFallido
#ConLosNiñosNo",Negativo
321,Mira @lopezobrador_ para que aprendas un poco de diplomacia y de como se debe expresar un jefe de Estado ,Negativo
322,"AMLO la silla, la presidencia, el país, te quedaron muy grandes.


",Negativo
323,"¿Saben quiénes están bien agradecidos con AMLO y su gabinete por la nueva estrategia para combatir al narco y la delincuencia?

El narco y la delincuencia.",Negativo
324,"@lopezobrador_ hipócrita, saqueador, mentiroso, CORRUPTO, dictador de cuarta, NO TE QUEREMOS. RENUNCIA! #amlonomerepresenta",Negativo
325,"Tuvieron 6 años cada uno, dejaron un chiquero de país y hasta defienden su gestión... ¿con qué calidad moral critican a #AMLO que lleva apenas 4 meses en el cargo? ",Positivo
326,"@lopezobrador_
Tus omisiones en seguridad pública también violan los derechos humanos. 

¡Tú negligencia fomenta la violencia!
",Negativo
327,"Eres una pena como Presidente! No vales madre, no tienes huevos, le has dado en la madre al país en 100 días. Mejor renuncia pedazo de pelmazo!! ",Negativo
328,"Frente al luto y dolor de las familias.
Frente a la legítima exigencia de seguridad y paz.
Frente a las miles de voces que piden respete y haga respetar la Constitución y el Estado de Derecho.
Usted responde con insultos y descalificaciones, presidente @lopezobrador_.

¿Por qué? ",Negativo
329,"Quien ante una tragedia fomenta división y encono, no merece ser Presidente de un país.

Eres un Presidentito de papel, Lopitos, un presidente muy enano para este gran país.

Te queda muy grande el cargo @lopezobrador_",Negativo
330,"Y no cabe duda que tú no sabes gobernar, que eres un inepto que no acepta la responsabilidad y solo se escuda en discursos baratos. Tú mensaje funciona con un pueblo ignorante y mantenido, no con el pueblo trabajador y preparado. ",Negativo
331,"Al único que veo callar ahora es a usted, mínimo una condolencia, algo que demuestre que le interesa lo que está sucediendo en el país, pero no, usted está más preocupado por seguir su campaña.


",Negativo
